Nombre,Editorial,Año,Suma de Ventas Millones
64 de Hakken! Tamagotchi Minna de Tamagotchi World,Namco Bandai Games,1997,0.22
7 Days to Die,Telltale Games,2016,0.16
7 Roses: A Darkness Rises,Avanquest Software,2015,0.02
7 Wonders II,Rondomedia,2009,0.32
7 Wonders of the Ancient World,Funsta,2007,0.12000000000000001
7 Wonders of the Ancient World,Mumbo Jumbo,2007,0.08
7 Wonders: Treasures of Seven,Avanquest,2011,0.06
7th Dragon,Sega,2009,0.14
7th Dragon 2020,Sega,2011,0.2
7th Dragon 2020-II,Sega,2013,0.13
7th Dragon III Code: VFD,Sega,2015,0.15
'98 Koshien,Magical Company,1998,0.4
99 no Namida,Namco Bandai Games,2008,0.04
"999: Nine Hours, Nine Persons, Nine Doors",ChunSoft,2009,0.43
A Boy and His Blob,Majesco Entertainment,2009,0.23
A Bug's Life,Activision,1998,0.63
A Bug's Life,Sony Computer Entertainment,1998,2.79
A Collection of Activision Classic Games for the Atari 2600,Activision,1998,1.37
A Collection of Classic Games from the Intellivision,Activision,1999,0.31
A Game of Thrones: Genesis,Focus Home Interactive,2011,0.04
A Good Librarian Like a Good Shepherd: Library Party,Kaga Create,2015,0.03
A llI S.V.: A Ressha de Gyoukou 3 Super Version,Pack-In-Video,1995,0.06
A New Beginning,Deep Silver,2010,0.060000000000000005
A Ressha de Gyoukou 2001,ArtDink,2001,0.03
A Ressha de Ikou DS,ArtDink,2009,0.04
A Vampyre Story,Crimson Cow,2008,0.01
A Witch's Tale,Nippon Ichi Software,2009,0.12
A. IV Evolution: A Ressha de Ikou 4,ArtDink,1994,0.26
A.C.E.: Another Century's Episode,Banpresto,2005,0.26
A.C.E.: Another Century's Episode 2,Banpresto,2006,0.18
A.C.E.: Another Century's Episode 3: The Final,Banpresto,2007,0.26
A.C.E.: Another Century's Episode Portable,Namco Bandai Games,2011,0.12
A.C.E.: Another Century's Episode R,Namco Bandai Games,2010,0.26
Â¡Shin Chan Flipa en colores!,505 Games,2007,0.14
Aa Megami-samaa,Marvelous Interactive,2007,0.01
ABBA: You Can Dance,Ubisoft,2011,0.8
Abunai: Koi no Sousa Shitsu,Asgard,2015,0.02
Abunai: Koi no Sousa Shitsu,Quinrose,2012,0.01
AC/DC LIVE: Rock Band Track Pack,MTV Games,2008,0.8999999999999999
Academy of Champions: Soccer,Ubisoft,2009,0.13
Accel World: Ginyoku no Kakusei,Namco Bandai Games,2012,0.06
Accel World: Kasoku no Chouten,Namco Bandai Games,2013,0.03
Ace Attorney 6,Capcom,2016,0.27
Ace Attorney Investigations 2,Capcom,2011,0.26
Ace Attorney Investigations: Miles Edgeworth,Capcom,2009,0.76
Ace Combat 04: Shattered Skies,Sony Computer Entertainment Europe,2001,3.17
Ace Combat 2,Sony Computer Entertainment,1997,0.8900000000000001
Ace Combat 3: Electrosphere,Sony Computer Entertainment,1999,0.82
Ace Combat 5: The Unsung War,Sony Computer Entertainment Europe,2004,1.72
Ace Combat 6: Fires of Liberation,Atari,2007,1.01
Ace Combat X: Skies of Deception,Namco Bandai Games,2006,0.99
Ace Combat Zero: The Belkan War,Namco Bandai Games,2006,0.51
Ace Combat: Assault Horizon,Namco Bandai Games,2011,1.24
Ace Combat: Assault Horizon Legacy,Namco Bandai Games,2011,0.25
Ace Combat: Joint Assault,Namco Bandai Games,2010,0.29
Achtung Panzer: Kharkov 1943,Mamba Games,2010,0.01
Act of Aggression,Focus Home Interactive,2015,0.01
Action Bass,Take-Two Interactive,2000,1.1400000000000001
Action Force,CPG Products,1982,0.54
Active Health with Carol Vorderman,Nintendo,2009,0.19
Active Life Explorer,Namco Bandai Games,2010,0.15000000000000002
Active Life: Extreme Challenge,Namco Bandai Games,2009,0.48
Active Life: Magical Carnival,Namco Bandai Games,2011,0.05
Active Life: Outdoor Challenge,Atari,2008,1.56
Activision Anthology,Activision,2002,0.5
Activision Anthology,Activision,2003,0.04
Activision Hits: Remixed,Activision,2006,0.05
Actua Tennis,Gremlin Interactive Ltd,1997,0.13
Adidas Power Soccer,Psygnosis,1996,0.03
Adidas Power Soccer 98,Psygnosis,1998,0.02
Adrenalin Misfits,Konami Digital Entertainment,2010,0.15
Advance Guardian Heroes,Ubisoft,2004,0.04
Advance Wars,Nintendo,2001,0.7
Advance Wars 2: Black Hole Rising,Nintendo,2003,0.65
Advance Wars: Dual Strike,Nintendo,2005,0.39999999999999997
Advent Rising,THQ,2005,0.13
Adventure Island,Hudson Soft,1986,1.05
Adventure Time: Explore the Dungeon Because I Don't Know!,D3Publisher,2013,0.3
Adventure Time: Finn & Jake Investigations,Little Orbit,2015,0.44999999999999996
Adventure Time: The Secret of the Nameless,Little Orbit,2014,0.02
Adventure Time: The Secret of the Nameless Kingdom,Little Orbit,2014,0.16
Adventures of Lolo,HAL Laboratory,1989,0.06
Adventures of Tron,Mattel Interactive,1981,0.67
Adventures to Go!,Zushi Games,2008,0.12000000000000001
Aedis Eclipse: Generation of Chaos,Idea Factory,2006,0.02
Aegis of Earth: Protonovus Assault,PQube,2016,0.08
Aeon Flux,THQ,2005,0.06
Aero Elite: Combat Academy,Sega,2002,0.08
Aero Gauge,ASCII Entertainment,1997,0.06999999999999999
AeroFighters Assault,Video System,1997,0.19
Afrika,Unknown,2008,0.21
Afro Samurai,Atari,2009,0.43000000000000005
After Hours Athletes,Sony Computer Entertainment,2011,0.13
Again,Ackkstudios,2009,0.07
Agassi Tennis Generation,DreamCatcher Interactive,2003,0.08
Agatha Christie: And Then There Were None,The Adventure Company,2008,0.08
Agatha Christie: Death on the Nile,Big Fish Games,2008,0.01
Agatha Christie: Evil Under the Sun,The Adventure Company,2008,0.1
Agatha Christie: Peril at End House,JoWood Productions,2009,0.01
Agatha Christie: The ABC Murders,JoWood Productions,2009,0.1
Agatha Christie: The ABC Murders,Microids,2016,0.02
Agatha Christie's The ABC Murders,Microids,2016,0.02
Age of Conan: Rise of the Godslayer,Funcom,2010,0.02
Age of Empires II: The Age of Kings,Microsoft Game Studios,1999,0.11
Age of Empires III,Microsoft Game Studios,2005,0.39
Age of Empires III: Complete Collection,Microsoft Game Studios,2009,0.16
Age of Empires III: Gold Edition,Microsoft Game Studios,2007,0.03
Age of Empires III: The Asian Dynasties,Microsoft Game Studios,2007,0.060000000000000005
Age of Empires Online,Microsoft Game Studios,2011,0.06
Age of Empires: Collector's Edition,Ubisoft,2000,0.14
Age of Empires: Mythologies,THQ,2008,0.22000000000000003
Age of Empires: The Age of Kings,THQ,2006,0.23
Age of Mythology,Microsoft Game Studios,2002,0.09
Age of Mythology: The Titans,Microsoft Game Studios,2003,0.03
Aggressive Inline,Acclaim Entertainment,2002,0.45000000000000007
Agile Warrior F-111X,Virgin Interactive,1995,0.14
Aibou DS,Tecmo Koei,2009,0.08
Aidyn Chronicles: The First Mage,THQ,2001,0.1
Aikatsu! 2-nin no My Princess,Namco Bandai Games,2013,0.26
Aikatsu! 365 Idol Days,Namco Bandai Games,2014,0.13
Aikatsu! Cinderella Lesson,Namco Bandai Games,2012,0.2
Aikatsu! My No.1 Stage!,Namco Bandai Games,2015,0.07
Ailu de Puzzle,Capcom,2012,0.04
AIR,Prototype,2007,0.02
Air Combat,Sony Computer Entertainment,1995,1.8200000000000003
Air Conflicts: Aces of World War II,Graffiti,2009,0.05
Air Conflicts: Secret Wars,bitComposer Games,2011,0.31
Air Raid,Men-A-Vision,1981,0.77
Air Traffic Chaos,Ertain,2007,0.05
Airblade,Sony Computer Entertainment,2001,0.23
Airborne Troops: Countdown to D-Day,Playlogic Game Factory,2005,0.13
AirForce Delta Storm,Konami Digital Entertainment,2001,0.19
AirForce Delta Storm,Konami Digital Entertainment,2002,0.03
AirForce Delta Strike,Konami Digital Entertainment,2004,0.1
Airline Tycoon,Interplay,2000,0.01
Airline Tycoon 2,Kalypso Media,2011,0.05
Airlock,Data Age,1981,0.38
Airport Simulator,Unknown,2011,0.02
Airship Q,Cygames,2015,0.03
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,Marvelous Interactive,2008,0.06
Akai Ito DS,Alchemist,2008,0.02
Akai Katana Shin,Cave,2011,0.05
Akane Iro ni Somaru Saka Parallel,GN Software,2008,0.03
Akatsuki no Amaneka to Aoi Kyojin,CyberFront,2010,0.01
Akatsuki no Goei Trinity,5pb,2012,0.02
AKB1/149: Love Election,Namco Bandai Games,2012,0.30000000000000004
AKB1/149: Love Election,Namco Bandai Games,2013,0.08
AKB1/48: Idol to Guam de Koishitara...,Namco Bandai Games,2011,0.4
AKB1/48: Idol to Koishitara...,Namco Bandai Games,2010,0.41
AKB48+Me,Unknown,2012,0.11
Akiba's Trip,Acquire,2011,0.14
Akiba's Trip Plus,Acquire,2012,0.08
Akiba's Trip: Undead & Undressed,Acquire,2014,0.11
Akiba's Trip: Undead & Undressed,Nippon Ichi Software,2013,0.33
Akko ni Omakase! Brain Shock,Taito,2006,0.04
Akuji the Heartless,Eidos Interactive,1998,0.12000000000000001
Aladdin Magic Racer,Big Ben Interactive,2011,0.01
Alan Wake,Microsoft Game Studios,2010,1.35
Alan Wake,Nordic Games,2012,0.06999999999999999
Alexi Lalas International Soccer,Take-Two Interactive,1998,0.07
Alfa Romeo Racing Italiano,Black Bean Games,2005,0.02
Alias,Acclaim Entertainment,2004,0.15000000000000002
Alia's Carnival! Sacrament,dramatic create,2015,0.03
Alice in Wonderland,Disney Interactive Studios,2010,1.03
Alice: Madness Returns,Electronic Arts,2011,1.2200000000000002
Alien,20th Century Fox Video Games,1981,0.79
Alien Breed Trilogy,Mastertronic,2011,0.02
Alien Hominid,O3 Entertainment,2004,0.09000000000000001
Alien Hominid,Zoo Digital Publishing,2004,0.1
Alien Monster Bowling League,Destineer,2009,0.09999999999999999
Alien Resurrection,Fox Interactive,2000,0.15999999999999998
Alien Syndrome,Sega,2007,0.14
Alien Trilogy,Acclaim Entertainment,1996,0.47
Alien: Isolation,Sega,2014,2.46
Alienators: Evolution Continues,Activision,2001,0.04
Aliens in the Attic,Playlogic Game Factory,2009,0.13
Alien's Return,ITT Family Games,1982,0.34
Aliens versus Predator: Extinction,Electronic Arts,2003,0.26
Aliens vs Predator,Sega,2010,2.3099999999999996
Aliens vs Predator: Requiem,Vivendi Games,2007,0.22
Aliens: Colonial Marines,Sega,2013,1.62
Aliens: Infestation,Sega,2011,0.18
All Grown Up! Express Yourself,THQ,2004,0.18
All Grown Up!: Game Boy Advance Video Volume 1,N/A,2004,0.23
All Japan Pro Wrestling featuring Virtua,Sega,1997,0.15
All Kamen Rider: Rider Generation,Namco Bandai Games,2011,0.12
All Kamen Rider: Rider Generation 2,Namco Bandai Games,2012,0.16
All Points Bulletin,Electronic Arts,2010,0.04
All Star Cheer Squad,THQ,2008,1.08
All Star Cheer Squad 2,THQ,2009,0.13
All Star Karate,THQ,2010,0.23000000000000004
All Star Pro-Wrestling,SquareSoft,2000,0.2
All Star Tennis 99,Ubisoft,1999,0.05
Alleyway,Nintendo,1989,1.94
Allied General,SSI,1996,0.19
All-Pro Football 2K8,Take-Two Interactive,2007,0.41000000000000003
All-Star Baseball 2000,Acclaim Entertainment,1999,0.39
All-Star Baseball 2001,Acclaim Entertainment,2000,0.23
All-Star Baseball 2002,Acclaim Entertainment,2001,0.77
All-Star Baseball 2003,Acclaim Entertainment,2002,1.33
All-Star Baseball 2004,Acclaim Entertainment,2003,0.7000000000000001
All-Star Baseball 99,Acclaim Entertainment,1998,0.48
Alone in the Dark,Atari,2008,0.75
Alone in the Dark: Inferno,Atari,2008,0.14
Alone in the Dark: One-Eyed Jack's Revenge,Infogrames,1996,0.31
Alpha and Omega,Unknown,2010,0.06
Alpha Protocol,Sega,2010,0.88
Alter Echo,THQ,2003,0.18
Alter Ego,Activision,1985,0.04
Altered Beast: Guardian of the Realms,THQ,2002,0.09000000000000001
Alundra,Psygnosis,1997,0.22999999999999998
Alundra 2: A New Legend Begins,Activision,1999,0.27
Alvin and the Chipmunks,Brash Entertainment,2007,0.21
Alvin and the Chipmunks,Eidos Interactive,2007,0.05
Alvin and the Chipmunks: Chipwrecked,505 Games,2011,0.31
Alvin and the Chipmunks: The Squeakquel,Majesco Entertainment,2009,0.4
Amagami,Enterbrain,2009,0.13
Amagami,Kadokawa Games,2014,0.04
Amagami,Kadokawa Shoten,2011,0.15
Amagoushi no Yakata,Nippon Ichi Software,2007,0.02
Amatsumi Sora ni! Kumo no Hatate ni,Prototype,2015,0.02
Amazing Adventures: The Forgotten Ruins,PopCap Games,2008,0.23
Amazing Island,Sega,2004,0.05
America Oudan Ultra-Quiz,Victor Interactive,1995,0.02
American Bass Challenge,Starfish,2001,0.04
American Chopper,Zoo Digital Publishing,2004,0.5700000000000001
American Chopper 2: Full Throttle,Activision,2005,0.05
American Chopper 2: Full Throttle,Zoo Digital Publishing,2005,0.23
American Girl: Julie Finds a Way,THQ,2007,0.11
American Girl: Kit Mystery Challenge!,THQ,2008,0.44999999999999996
American Idol,Codemasters,2003,0.76
America's Army: Rise of a Soldier,Ubisoft,2005,0.25
America's Army: True Soldiers,Ubisoft,2007,0.09
America's Next Top Model,Crave Entertainment,2010,0.09
America's Next Top Model,Eidos Interactive,2008,0.11
America's Test Kitchen: Let's Get Cooking,Nintendo,2010,0.27
AMF Bowling 2004,Mud Duck Productions,2003,0.29
AMF Bowling Pinbusters!,Bethesda Softworks,2007,0.9199999999999999
AMF Bowling Pinbusters!,Vir2L Studios,2008,0.06
AMF Bowling World Lanes,Bethesda Softworks,2008,0.36
AMF Xtreme Bowling,Mastertronic,2006,0.02
Amnesia,Idea Factory,2011,0.04
Amnesia Crowd,Idea Factory,2013,0.05
Amnesia Later,Idea Factory,2012,0.05
Amnesia Later,Idea Factory,2014,0.01
AMNESIA World,Idea Factory,2014,0.03
Amped 2,Microsoft Game Studios,2003,0.25
Amped 3,Take-Two Interactive,2005,0.16
Amped: Freestyle Snowboarding,Microsoft Game Studios,2001,0.82
Amplitude,Sony Computer Entertainment,2003,0.18
An American Tail: Fievel's Gold Rush,Conspiracy Entertainment,2002,0.03
Anarchy Reigns,Sega,2012,0.37
And1 Streetball,Ubisoft,2006,0.34
Andretti Racing,Electronic Arts,1996,0.77
Angel Blade: Neo Tokyo Guardians,On Demand,1997,0.21
Angelique Duet,Tecmo Koei,1998,0.04
Angelique Retour,Tecmo Koei,2015,0.02
Angelique Trois,Tecmo Koei,2000,0.06
Angelique: Maren no Rokukishi,Idea Factory,2011,0.03
Angler's Club: Ultimate Bass Fishing 3D,D3Publisher,2011,0.03
Angry Birds,Focus Home Interactive,2011,0.22999999999999998
Angry Birds Star Wars,Activision,2013,1.9000000000000001
Angry Birds Trilogy,Activision,2012,1.0499999999999998
Angry Birds: Rio,Focus Home Interactive,2011,0.09000000000000001
Anima - Gate of Memories,Avanquest,2016,0.02
Animal Crossing,Nintendo,2001,3.16
Animal Crossing: Amiibo Festival,Nintendo,2015,0.42000000000000004
Animal Crossing: City Folk,Nintendo,2008,4.680000000000001
Animal Crossing: Happy Home Designer,Nintendo,2015,2.98
Animal Crossing: New Leaf,Nintendo,2012,9.100000000000001
Animal Crossing: Wild World,Nintendo,2005,12.280000000000001
Animal Genius,Ubisoft,2007,0.12
Animal Kingdom: Wildlife Expedition,Natsume,2009,0.08
Animal Paradise,Empire Interactive,2007,0.25
Animal Planet: Emergency Vets,Activision,2009,0.09
Animal Planet: Vet Collection,Activision,2010,0.05
Animal Planet: Vet Life,Activision,2009,0.21000000000000002
Animaniacs Ten Pin Alley,ASC Games,1998,0.6499999999999999
Animaniacs: The Great Edgar Hunt,Ignition Entertainment,2005,0.03
AniMates!,Lexicon Entertainment,2007,0.02
Animorphs: Shattered Reality,Infogrames,2000,0.05
Anno 1701: Dawn of Discovery,Touchstone,2007,0.15000000000000002
Anno 2070,Ubisoft,2011,1.45
Anno 2205,Ubisoft,2015,0.25
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,5pb,2012,0.02
Another Code R: A Journey into Lost Memories,Nintendo,2009,0.06
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,Namco Bandai Games,2016,0.06
Ant Nation,Konami Digital Entertainment,2009,0.08
Antiphona no Seikahime: Tenshi no Gakufu Op.A,Nippon Ichi Software,2009,0.02
Antz Extreme Racing,Empire Interactive,2002,0.06
Anubis II,Metro 3D,2007,0.06
Ao no Exorcist: Genkoku no Labyrinth,Namco Bandai Games,2012,0.04
Ao no Kanata no Four Rhythm,Unknown,2016,0.03
Aoishiro,Success,2008,0.02
Apache: Air Assault,Activision,2010,0.38
Apache: Air Assault,Just Flight,2010,0.04
Apassionata: Die Galanacht der Pferde,RTL,2009,0.05
APB Reloaded,Iceberg Interactive,2011,0.03
Ape Escape,Sony Computer Entertainment,1999,1.6199999999999999
Ape Escape,Sony Computer Entertainment,2010,0.04
Ape Escape 2,Sony Computer Entertainment,2002,0.62
Ape Escape 3,Sony Computer Entertainment,2005,0.13
Ape Escape Academy,Sony Computer Entertainment,2004,0.33
Ape Escape Academy (jp sales),Sony Computer Entertainment,2004,0.13
Ape Escape: On the Loose,Sony Computer Entertainment,2005,0.7
Ape Escape: Pumped & Primed,Sony Computer Entertainment,2004,0.08
Apex,Atari,2003,0.13
Apocalypse,Activision,1998,0.45
Apollo Justice: Ace Attorney,Capcom,2007,1.06
Aqua Aqua,3DO,2000,0.1
Aqua Panic!,Neko Entertainment,2009,0.02
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,Midway Games,2007,0.07
Aquaman: Battle for Atlantis,TDK Mediactive,2003,0.01
Aquanaut's Holiday,Sony Computer Entertainment,1995,0.02
Aquanaut's Holiday: Kakusareta Kiroku,Sony Computer Entertainment,2008,0.04
Aquapazza: Aquaplus Dream Match,Aqua Plus,2012,0.11000000000000001
Aquarium by DS,Mercury Games,2008,0.05
Ar Nosurge: Ode to an Unborn Star,Tecmo Koei,2014,0.21000000000000002
Ar tonelico 2: Melody of Metafalica,Nippon Ichi Software,2007,0.19
Ar tonelico Qoga: Knell of Ar Ciel,Tecmo Koei,2010,0.22999999999999998
Ar tonelico: Melody of Elemia,505 Games,2006,0.1
Arabians Lost: The Engagement on Desert,Prototype,2007,0.02
Arabians Lost: The Engagement on Desert,Quinrose,2012,0.01
Arc Rise Fantasia,Marvelous Interactive,2009,0.2
Arc the Lad,Sony Computer Entertainment,1995,1.11
Arc the Lad II,Sony Computer Entertainment,1996,1.05
Arc the Lad III,Sony Computer Entertainment,1999,0.42000000000000004
Arc the Lad: End of Darkness,Sony Computer Entertainment,2004,0.06
Arc the Lad: Twilight of the Spirits,Sony Computer Entertainment,2003,0.37
Arcade Hits: Frisky Tom,Hamster Corporation,2002,0.29000000000000004
Arcade Party Pak,Midway Games,1999,0.11
Arcade Shooting Gallery,Zoo Games,2008,0.19
Arcade Zone,Activision,2009,0.15000000000000002
Arcana Famiglia 2,Comfort,2013,0.02
Arcana Famiglia: La storia della Aracana Famiglia,Comfort,2011,0.05
Arcana Famiglia: Vascello Phantasma no Majutsushi,Comfort,2012,0.02
Arcana Heart,AQ Interactive,2007,0.16999999999999998
Arcana Heart 3,Arc System Works,2014,0.06
Arcana Heart 3,PQube,2011,0.26
Arcania: Gothic 4,JoWood Productions,2010,0.28
Arcania: Gothic 4,Nordic Games,2015,0.05
Archer Maclean Presents: Pool Paradise,Ignition Entertainment,2004,0.09
Archer Maclean's 3D Pool,Crave Entertainment,2003,0.07
Archer Maclean's Mercury,Ignition Entertainment,2005,0.55
Arctic Tale,Zoo Digital Publishing,2007,0.18
Arctic Thunder,Midway Games,2001,0.47000000000000003
Are You Alice?,Idea Factory,2011,0.02
Are You Smarter Than A 5th Grader?,Mindscape,2007,0.52
Are You Smarter Than a 5th Grader? Back to School,Nintendo,2010,0.22
Are You Smarter Than a 5th Grader? Back to School,THQ,2010,0.09
Are You Smarter than a 5th Grader? Game Time,THQ,2009,0.64
Are You Smarter than a 5th Grader? Make the Grade,THQ,2008,0.94
Area 51,GT Interactive,1996,0.72
Area 51,Midway Games,2005,0.74
Arena Football,Electronic Arts,2006,0.72
Aria: The Natural ~Tooi Yume no Mirage~,Alchemist,2006,0.02
Aria: The Origination ~Aoi Wakusei no El Cielo~,Alchemist,2008,0.02
Arkanoid DS,Square Enix,2007,0.06
ArmA II,505 Games,2009,0.15
ArmA III,Bohemia Interactive,2013,0.12000000000000001
Armed and Dangerous,LucasArts,2003,0.12
Armor Ambush,Mattel Interactive,1981,0.16
Armored Core,Sony Computer Entertainment,1997,0.41000000000000003
Armored Core 2,Ubisoft,2000,0.8
Armored Core 2: Another Age,Metro 3D,2001,0.41000000000000003
Armored Core 3,Metro 3D,2002,0.6799999999999999
Armored Core 3 Portable,From Software,2009,0.08
Armored Core 4,505 Games,2006,0.19
Armored Core 4,505 Games,2007,0.25
Armored Core SL: Silent Line Portable,From Software,2009,0.03
Armored Core V,Namco Bandai Games,2012,0.6
Armored Core: For Answer,Ubisoft,2008,0.34
Armored Core: Formula Front Extreme Battle,505 Games,2004,0.05
Armored Core: Last Raven,505 Games,2005,0.18
Armored Core: Last Raven Portable,From Software,2010,0.03
Armored Core: Master of Arena,From Software,1999,0.27
Armored Core: Nexus,Indie Games,2004,0.27
Armored Core: Nine Breaker,505 Games,2004,0.07
Armored Core: Project Phantasma,From Software,1997,0.27
Armored Core: Silent Line,Agetec,2003,0.31000000000000005
Armored Core: Verdict Day,From Software,2013,0.12
Armorines: Project S.W.A.R.M.,Acclaim Entertainment,1999,0.26
Armorines: Project S.W.A.R.M.,Acclaim Entertainment,2000,0.09
Army Corps of Hell,Square Enix,2011,0.11000000000000001
Army Men 3D,3DO,1999,1.2800000000000002
Army Men World War: Final Front,3DO,2001,0.44
"Army Men World War: Land, Sea, Air",3DO,2000,0.31
Army Men World War: Team Assault,3DO,2001,0.10999999999999999
Army Men: Air Attack,3DO,1999,0.85
Army Men: Air Attack 2,3DO,2000,0.30000000000000004
Army Men: Air Combat,3DO,2000,0.24
Army Men: Air Combat - The Elite Missions,3DO,2003,0.01
Army Men: Green Rogue,3DO,2001,0.19
Army Men: Major Malfunction,Global Star,2006,0.01
Army Men: RTS,3DO,2002,0.1
Army Men: RTS,Global Star,2004,0.060000000000000005
Army Men: Sarge's Heroes,3DO,1999,1.37
Army Men: Sarge's Heroes 2,3DO,2000,0.66
Army Men: Sarge's Heroes 2,Midas Interactive Entertainment,2001,0.18
Army Men: Sarge's War,Global Star,2004,0.26
Army Men: Soldiers of Misfortune,Zoo Games,2008,0.25
Army of Two,Electronic Arts,2008,2.8200000000000003
Army of Two: The 40th Day,Electronic Arts,2010,2.1100000000000003
Army of Two: The Devil's Cartel,Electronic Arts,2013,0.53
